PortfolioCode,Date,AllocationType,Position,Weight,,
Atchison70ACTIVE,30-Jun-19,Objective,ATCHBM00001,100.000000000,,
Atchison70ACTIVE,30-Jun-19,Peer,ATCHBM00026,100.000000000,,
Atchison70ACTIVE,30-Jun-19,Reference,IOZ-AU,22.500000000,,
Atchison70ACTIVE,30-Jun-19,Reference,VGS-AU,22.500000000,,
Atchison70ACTIVE,30-Jun-19,Reference,ATCHBM00013,6.250000000,,
Atchison70ACTIVE,30-Jun-19,Reference,ATCHBM00017,6.250000000,,
Atchison70ACTIVE,30-Jun-19,Reference,ATCHBM00002,12.500000000,,
Atchison70ACTIVE,30-Jun-19,Reference,IAF-AU,12.500000000,,
Atchison70ACTIVE,30-Jun-19,Reference,ISEC-AU,12.500000000,,
Atchison70ACTIVE,30-Jun-19,Reference,BILL-AU,5.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,IOZ-AU,39.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,VGS-AU,37.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,BLK4709AU,3.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,VBLD-AU,3.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,IAF-AU,6.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,VBND-AU,6.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,ISEC-AU,2.000000000,,
Atchison70ACTIVE,30-Jun-19,Strategic,BILL-AU,4.000000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,IOZ-AU,20.119510000,,
Atchison70ACTIVE,30-Jun-19,Tactical,HOW2217AU,2.697210000,,
Atchison70ACTIVE,30-Jun-19,Tactical,SCH0101AU,5.394420000,,
Atchison70ACTIVE,30-Jun-19,Tactical,AAP5529AU,1.348600000,,
Atchison70ACTIVE,30-Jun-19,Tactical,CNA0812AU,1.348600000,,
Atchison70ACTIVE,30-Jun-19,Tactical,ALR2783AU,2.697210000,,
Atchison70ACTIVE,30-Jun-19,Tactical,HOW0035AU,5.394420000,,
Atchison70ACTIVE,30-Jun-19,Tactical,IVV-AU,9.543870000,,
Atchison70ACTIVE,30-Jun-19,Tactical,IHVV-AU,6.362580000,,
Atchison70ACTIVE,30-Jun-19,Tactical,VEQ-AU,3.181290000,,
Atchison70ACTIVE,30-Jun-19,Tactical,ETL7377AU,10.235570000,,
Atchison70ACTIVE,30-Jun-19,Tactical,GSF6910AU,5.117780000,,
Atchison70ACTIVE,30-Jun-19,Tactical,PIM7802AU,2.558890000,,
Atchison70ACTIVE,30-Jun-19,Tactical,BLK4709AU,0.515880000,,
Atchison70ACTIVE,30-Jun-19,Tactical,BLK9419AU,1.031770000,,
Atchison70ACTIVE,30-Jun-19,Tactical,LAM0044AU,0.622430000,,
Atchison70ACTIVE,30-Jun-19,Tactical,GTU5547AU,0.622430000,,
Atchison70ACTIVE,30-Jun-19,Tactical,TGP0016AU,0.207470000,,
Atchison70ACTIVE,30-Jun-19,Tactical,GPEQ-AU,0.300000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,AUS0035AU,0.450000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,EQI4297AU,0.150000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,MAQ5143AU,0.150000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,PER0728AU,0.750000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,PIM1038AU,1.050000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,CNA0805AU,0.150000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,IAF-AU,1.934560000,,
Atchison70ACTIVE,30-Jun-19,Tactical,AESG-AU,1.289710000,,
Atchison70ACTIVE,30-Jun-19,Tactical,ILB-AU,1.289710000,,
Atchison70ACTIVE,30-Jun-19,Tactical,ETL5525AU,1.412000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,SSB0122AU,2.824000000,,
Atchison70ACTIVE,30-Jun-19,Tactical,FLOT-AU,1.354190000,,
Atchison70ACTIVE,30-Jun-19,Tactical,ISEC-AU,1.354190000,,
Atchison70ACTIVE,30-Jun-19,Tactical,IOF0127AU,0.635400000,,
Atchison70ACTIVE,30-Jun-19,Tactical,WPC1963AU,0.953100000,,
Atchison70ACTIVE,30-Jun-19,Tactical,CSA0038AU,0.953100000,,
Atchison70ACTIVE,30-Jun-19,Tactical,BILL-AU,4.000110000,,
Atchison70ACTIVE,10-Jan-20,Strategic,IOZ-AU,37.000000000,,
Atchison70ACTIVE,10-Jan-20,Strategic,VGS-AU,34.000000000,,
Atchison70ACTIVE,10-Jan-20,Strategic,IAF-AU,12.000000000,,
Atchison70ACTIVE,10-Jan-20,Strategic,VBND-AU,10.000000000,,
Atchison70ACTIVE,10-Jan-20,Strategic,BILL-AU,7.000000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,IOZ-AU,16.508320000,,
Atchison70ACTIVE,10-Jan-20,Tactical,HOW2217AU,2.213090000,,
Atchison70ACTIVE,10-Jan-20,Tactical,SCH0101AU,4.426190000,,
Atchison70ACTIVE,10-Jan-20,Tactical,AAP5529AU,1.106540000,,
Atchison70ACTIVE,10-Jan-20,Tactical,CNA0812AU,1.106540000,,
Atchison70ACTIVE,10-Jan-20,Tactical,ALR2783AU,2.213090000,,
Atchison70ACTIVE,10-Jan-20,Tactical,HOW0035AU,4.426190000,,
Atchison70ACTIVE,10-Jan-20,Tactical,IVV-AU,7.480330000,,
Atchison70ACTIVE,10-Jan-20,Tactical,IHVV-AU,4.986880000,,
Atchison70ACTIVE,10-Jan-20,Tactical,VEQ-AU,2.493440000,,
Atchison70ACTIVE,10-Jan-20,Tactical,ETL7377AU,8.022470000,,
Atchison70ACTIVE,10-Jan-20,Tactical,GSF6910AU,4.011230000,,
Atchison70ACTIVE,10-Jan-20,Tactical,PIM7802AU,2.005610000,,
Atchison70ACTIVE,10-Jan-20,Tactical,BLK4709AU,0.859800000,,
Atchison70ACTIVE,10-Jan-20,Tactical,BLK9419AU,1.719610000,,
Atchison70ACTIVE,10-Jan-20,Tactical,LAM0044AU,1.037380000,,
Atchison70ACTIVE,10-Jan-20,Tactical,GTU5547AU,1.037380000,,
Atchison70ACTIVE,10-Jan-20,Tactical,TGP0016AU,0.345790000,,
Atchison70ACTIVE,10-Jan-20,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,10-Jan-20,Tactical,IAF-AU,3.040030000,,
Atchison70ACTIVE,10-Jan-20,Tactical,AESG-AU,2.026690000,,
Atchison70ACTIVE,10-Jan-20,Tactical,ILB-AU,2.026690000,,
Atchison70ACTIVE,10-Jan-20,Tactical,ETL5525AU,2.218860000,,
Atchison70ACTIVE,10-Jan-20,Tactical,SSB0122AU,4.437720000,,
Atchison70ACTIVE,10-Jan-20,Tactical,FLOT-AU,2.128020000,,
Atchison70ACTIVE,10-Jan-20,Tactical,ISEC-AU,2.128020000,,
Atchison70ACTIVE,10-Jan-20,Tactical,IOF0127AU,0.998480000,,
Atchison70ACTIVE,10-Jan-20,Tactical,WPC1963AU,1.497730000,,
Atchison70ACTIVE,10-Jan-20,Tactical,CSA0038AU,1.497730000,,
Atchison70ACTIVE,10-Jan-20,Tactical,BILL-AU,7.000150000,,
Atchison70ACTIVE,1-Apr-20,Strategic,IOZ-AU,40.000000000,,
Atchison70ACTIVE,1-Apr-20,Strategic,VGS-AU,40.000000000,,
Atchison70ACTIVE,1-Apr-20,Strategic,IAF-AU,5.000000000,,
Atchison70ACTIVE,1-Apr-20,Strategic,VBND-AU,5.000000000,,
Atchison70ACTIVE,1-Apr-20,Strategic,FLOT-AU,5.000000000,,
Atchison70ACTIVE,1-Apr-20,Strategic,BILL-AU,5.000000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,IOZ-AU,18.055970000,,
Atchison70ACTIVE,1-Apr-20,Tactical,HOW2217AU,2.420570000,,
Atchison70ACTIVE,1-Apr-20,Tactical,SCH0101AU,4.841150000,,
Atchison70ACTIVE,1-Apr-20,Tactical,AAP5529AU,1.210280000,,
Atchison70ACTIVE,1-Apr-20,Tactical,CNA0812AU,1.210280000,,
Atchison70ACTIVE,1-Apr-20,Tactical,ALR2783AU,2.420570000,,
Atchison70ACTIVE,1-Apr-20,Tactical,HOW0035AU,4.841150000,,
